people_ID,Infect_Prob
5942,52.87879975313343
18664,52.86225409316651
5603,51.279625857200024
5649,52.653021377299886
5099,53.02011632416665
18749,51.36781508036675
5228,52.67826535870001
5559,52.369267173133366
5220,52.61635835402227
5476,53.14709857876666
5260,52.557667793300084
17638,52.73006244403326
18635,52.35336115945557
18794,63.81515762503335
5263,51.3544666322335
17680,56.87899982033338
18030,52.5255161207666
18090,52.73451311427771
18455,52.41674350933321
18155,52.43958948436655
18116,65.35569175490008
18144,52.72749956876658
5218,56.34142819960004
5386,53.00767511396664
18105,59.781718541766594
5735,52.33850471578605
5900,52.81191144943341
18391,52.046786330066666
5786,52.577122572399944
18639,52.50158415280003
17984,52.62168190456667
18274,51.320863242766734
5425,52.7330140049501
6076,52.152164124497254
18545,52.325133986933324
17697,57.56300783733328
6137,52.537458012233394
6083,52.253537524666605
17730,52.60006965923324
5896,58.04872104683333
18906,52.312919704800095
17808,52.71717402659996
6078,52.728848010066635
5516,51.79586655350003
18093,52.59888015171346
6120,52.71120554663553
18154,52.85420895836674
17935,52.65305913263339
18769,58.76199826739987
18264,52.14069775596662
18076,50.671536714374994
18035,52.48675220023327
18051,52.57863875750001
18676,52.60129807349995
5332,52.3531952309333
5898,62.99698767286672
18370,52.58932364143325
17706,52.09141818016666
5198,52.76485236960226
18360,52.433432805100004
18240,52.664405076166595
18691,52.538829556466546
5768,52.72654781929993
18315,52.57478359453331
18776,52.64756590936657
6225,52.49252961080001
17983,56.3433602817667
17973,52.8899642756001
5805,60.51637434799994
5500,52.72556961516669
5305,52.33660672186665
18243,52.500694791833254
5169,52.61955829663343
5258,52.62847929853332
17810,59.11762194923322
5714,52.37728644013336
6070,51.292388764566674
5959,64.52248268846661
18771,52.72307427403323
17765,52.41654498466668
18822,52.69021257366659
17735,63.06360314866664
17966,51.604054264599995
18861,52.53199288436663
18236,51.42501024256685
18750,66.43620449936674
17809,55.12401383703333
6049,52.72432780136679
18465,52.02713869266668
6201,53.022037394433255
18877,52.253157366133394
5087,52.27703768313339
17742,51.19133334886678
17941,64.53580321223336
18421,52.47870747573333
18489,52.385014017766636
6299,64.32977754739996
18428,52.17718598453335
5563,54.19709349996664
18796,58.44322899543336
5849,52.55625550203333
5661,52.13436775313332
5893,52.19940534516664
5378,63.04170508749999
5622,52.35549495445554
5823,51.80514070385556
18521,51.154364993766684
5502,52.35465160683322
18785,51.326202044966706
17783,52.81333828663891
18424,57.71013223823331
18147,52.399820045799984
18881,63.70729991540005
18851,51.16641100826678
17686,52.492363842399875
5100,52.764533782683415
5213,51.80176722566676
18252,51.08597210600014
5576,52.14986092680011
18050,52.39959003703338
5875,51.7614684546
6059,52.298731241613396
18599,52.56245424749985
5173,52.400618366099884
5461,51.23608788176675
5151,63.67124630873334
5266,50.905369624600056
5514,60.684706680433386
5224,52.34009481836667
18069,51.480061732966846
5587,51.2680679650334
17874,52.255997060700025
5536,51.501169338499956
5215,52.5114913190666
5400,46.632181092299874
17857,52.31184047700008
6043,44.02135127106664
18330,51.23709668443344
18333,52.455295959633276
17788,52.48017259346661
18332,59.16975952743333
17836,52.08078106076665
